Offence group,Code,Community safety partnership,Police force area,Crime Severity Score Apr 15 - Mar 16,Crime Severity Score Apr 16 - Mar 17,Crime Severity Score Apr 17 - Mar 18,Crime Severity Score Apr 18 - Mar 19,Crime Severity Score Apr 19 - Mar 20,Crime Severity Score Apr 20 - Mar 21,"Offence rate per 1,000 population Apr 15 - Mar 16","Offence rate per 1,000 population Apr 16 - Mar 17","Offence rate per 1,000 population Apr 17 - Mar 18","Offence rate per 1,000 population Apr 18 - Mar 19","Offence rate per 1,000 population Apr 19 - Mar 20","Offence rate per 1,000 population Apr 20 - Mar 21"
Violence against the person,E07000135,Oadby and Wigston,Leicestershire,1.2,1.2,1.7,1.9,2.4,3.3,9,12,17,20,21,23
Violence against the person,E06000017,Rutland,Leicestershire,0.7,0.9,0.9,1.1,1.6,2.2,7,7,9,12,14,14
Violence against the person,E07000136,Boston,Lincolnshire,3.4,3,3.3,5.1,5.2,4.7,15,14,15,29,32,28
Violence against the person,E07000137,East Lindsey,Lincolnshire,2.6,2.4,2.8,3.9,4.4,4.7,11,13,13,26,33,29
Violence against the person,E07000138,Lincoln,Lincolnshire,3.8,3.9,4.3,5.5,7.8,7,18,19,20,38,51,45
Violence against the person,E07000139,North Kesteven,Lincolnshire,0.9,1.1,1.3,2.3,3.3,2.3,4,6,7,15,19,16
Violence against the person,E07000140,South Holland,Lincolnshire,1.3,2.3,2.2,2.9,3.6,4,8,10,12,23,28,25
Violence against the person,E07000141,South Kesteven,Lincolnshire,1.4,1.6,1.9,2.4,3.2,3.1,7,9,10,18,24,19
Violence against the person,E07000142,West Lindsey,Lincolnshire,1.9,1.7,2,2.8,3.3,3.9,7,8,8,18,23,22
Violence against the person,E08000011,Knowsley,Merseyside,3,3.6,3.9,4.7,4.8,5.1,15,17,22,30,34,37
Violence against the person,E08000012,Liverpool,Merseyside,5,5.8,6.2,6.6,6.2,5.8,22,26,30,38,39,41
Violence against the person,E08000014,Sefton,Merseyside,2.8,3.1,3.5,3.9,3.6,3.7,13,17,21,27,29,31
Violence against the person,E08000013,St. Helens,Merseyside,3.2,3.9,4.5,4.7,4.5,4.6,17,21,25,32,36,38
Violence against the person,E08000015,Wirral,Merseyside,3,3.1,3.9,4,3.8,3.6,16,17,21,29,30,30
Violence against the person,E09000002,Barking and Dagenham,Metropolitan Police,5.3,4.8,4.5,5.1,5.4,5.4,26,26,26,27,30,30
Violence against the person,E09000003,Barnet,Metropolitan Police,2.5,2.5,2.5,2.7,2.9,2.8,16,17,16,18,19,19
Violence against the person,E09000004,Bexley,Metropolitan Police,2.3,2.6,2.5,3,3.5,3.4,14,16,17,19,21,21
Violence against the person,E09000005,Brent,Metropolitan Police,3.9,4.1,4.4,4.6,4.4,4.6,23,24,25,27,26,27
Violence against the person,E09000006,Bromley,Metropolitan Police,2.2,2.4,2.6,2.7,2.8,2.9,16,17,18,18,20,19
Violence against the person,E09000007,Camden,Metropolitan Police,3.9,4,4.5,4.5,4.1,3.4,25,25,27,27,26,22
Violence against the person,E09000008,Croydon,Metropolitan Police,3.6,3.9,3.9,3.8,4.7,5,23,23,23,24,26,28
Violence against the person,E09000009,Ealing,Metropolitan Police,3.7,3.5,3.7,3.8,4.3,4.3,22,23,23,24,25,26
Violence against the person,E09000010,Enfield,Metropolitan Police,3,3.2,3.7,3.8,4.7,4.5,18,19,20,22,24,26
Violence against the person,E09000011,Greenwich,Metropolitan Police,4.2,4.1,4.3,4.7,5.1,4.9,25,26,26,28,29,29
Violence against the person,E09000012,Hackney,Metropolitan Police,4.4,4.9,5.2,5,5.1,4.9,26,27,28,28,28,27
Violence against the person,E09000013,Hammersmith and Fulham,Metropolitan Police,3.9,3.8,4,7.6,5.8,4.2,25,26,26,31,29,26
Violence against the person,E09000014,Haringey,Metropolitan Police,5,5.1,5.7,5.4,5.5,5.3,25,27,28,29,28,28
Violence against the person,E09000015,Harrow,Metropolitan Police,2.1,2.3,2.6,2.9,2.9,2.9,15,15,16,18,19,19
Violence against the person,E09000016,Havering,Metropolitan Police,3,2.9,3.3,3.3,3.2,2.8,18,21,20,21,21,19
Violence against the person,E09000017,Hillingdon,Metropolitan Police,3.3,3.3,3.4,3.6,3.9,3.7,21,21,22,23,24,24
Violence against the person,E09000018,Hounslow,Metropolitan Police,3.5,3.5,3.8,3.8,4.7,4.4,23,23,25,27,29,28
Violence against the person,E09000019,Islington,Metropolitan Police,5.1,4.6,5,5,4.6,3.8,27,27,27,28,26,24
Violence against the person,E09000020,Kensington and Chelsea,Metropolitan Police,3.5,3.6,3.6,3.9,4.8,3.7,22,22,25,27,27,25
Violence against the person,E09000021,Kingston upon Thames,Metropolitan Police,2.3,2.3,2.7,3.1,3.2,2.7,15,16,17,20,20,18
Violence against the person,E09000022,Lambeth,Metropolitan Police,4.8,5.1,5,5.1,5.2,5,27,27,26,27,28,27
Violence against the person,E09000023,Lewisham,Metropolitan Police,3.9,4.5,4.3,4.3,4.7,4.3,24,25,25,26,28,27
Violence against the person,E09000024,Merton,Metropolitan Police,2.6,2.4,2.6,2.9,2.8,3.2,17,16,17,18,19,20
Violence against the person,E09000025,Newham,Metropolitan Police,4.9,4.7,5.2,4.6,4.8,4.7,25,24,25,26,26,26
Violence against the person,E09000026,Redbridge,Metropolitan Police,3.2,2.9,3.4,3.2,4,3.7,18,18,19,21,21,22
Violence against the person,E09000027,Richmond upon Thames,Metropolitan Police,1.8,1.8,1.9,2.1,2.1,2.1,12,13,15,15,15,15
Violence against the person,E09000028,Southwark,Metropolitan Police,4.4,4.3,5.4,5.2,5,4.8,25,25,26,28,28,26
Violence against the person,E09000029,Sutton,Metropolitan Police,2.2,2.3,2.2,2.5,2.9,2.9,16,16,17,19,21,19
Violence against the person,E09000030,Tower Hamlets,Metropolitan Police,4.6,4.6,4.6,4.8,4.6,4.5,26,26,26,28,27,27
Violence against the person,E09000031,Waltham Forest,Metropolitan Police,3.9,3.9,3.8,4.3,4.3,4.2,22,23,22,23,22,24
Violence against the person,E09000032,Wandsworth,Metropolitan Police,2.6,2.7,2.8,3.3,3.2,3.2,18,18,19,21,20,21
Violence against the person,E09000033,Westminster,Metropolitan Police,5.7,7.8,7.5,7.8,6.6,5.1,36,37,40,43,43,31
Violence against the person,E07000143,Breckland,Norfolk,1.7,2.5,2.9,2.3,2.9,3.4,15,15,19,20,24,27
Violence against the person,E07000144,Broadland,Norfolk,1,1.4,1.5,1.8,2,2.5,11,13,15,17,19,23
Violence against the person,E07000145,Great Yarmouth,Norfolk,3.5,3.4,4.3,5.1,5.3,5.2,26,28,33,40,45,47
Violence against the person,E07000146,King's Lynn and West Norfolk,Norfolk,1.9,2.4,2.3,2.7,2.8,3.2,15,15,18,22,24,27
Violence against the person,E07000147,North Norfolk,Norfolk,1,1.4,1.2,1.9,1.7,2.4,10,11,12,15,19,21
Violence against the person,E07000148,Norwich,Norfolk,3.3,4.5,5.5,6.6,7,7.2,28,32,37,45,49,49
Violence against the person,E07000149,South Norfolk,Norfolk,1.8,1.2,1.6,1.6,2,2.4,10,11,12,15,17,22
Violence against the person,W06000003,Conwy,North Wales,2.2,2.7,3.8,4.6,4.5,4.8,16,20,28,37,40,41
Violence against the person,W06000004,Denbighshire,North Wales,2.9,3.6,5,5.1,5.8,5.2,21,25,34,47,49,46
Violence against the person,W06000005,Flintshire,North Wales,1.9,3.2,2.8,3.9,3.8,4.2,13,17,23,30,31,34
Violence against the person,W06000002,Gwynedd,North Wales,2.3,2.8,3.6,3.9,4.2,3.7,15,17,24,30,31,29
Violence against the person,W06000001,Isle of Anglesey,North Wales,2.2,2.3,3.1,3.7,3.6,3.8,14,16,22,30,31,31
Violence against the person,W06000006,Wrexham,North Wales,2.8,3.4,4.7,5.1,5.3,5.4,20,25,34,41,42,41
Violence against the person,E06000014,City of York,North Yorkshire,2.4,2.3,2.4,3.1,3.1,3.1,13,13,15,21,22,20
Violence against the person,E10000023,North Yorkshire,North Yorkshire,1.7,1.8,2,2.5,2.8,2.7,11,11,13,17,20,19
Violence against the person,E07000150,Corby,Northamptonshire,4.3,4.2,4.4,5.4,6.1,7.1,26,24,27,31,37,43
Violence against the person,E22000357,Daventry and South Northamptonshire,Northamptonshire,1.6,2.1,2,2.5,2.6,3.2,12,12,14,18,20,23
Violence against the person,E07000152,East Northamptonshire,Northamptonshire,1.6,1.7,2.1,2.6,2.9,3,11,13,13,18,21,24
Violence against the person,E07000153,Kettering,Northamptonshire,2.7,2.9,3.5,4.4,4.8,5.4,18,20,22,27,32,38
Violence against the person,E07000154,Northampton,Northamptonshire,4,4.9,5.4,5.6,6.4,7.1,27,30,31,35,41,47
Violence against the person,E07000156,Wellingborough,Northamptonshire,2.6,3.1,3.8,5.3,5.4,5.9,18,20,23,30,35,41
Violence against the person,E08000037,Gateshead,Northumbria,2.8,3.3,3.3,4.6,3.9,4.5,14,22,28,31,31,32
Violence against the person,E08000021,Newcastle upon Tyne,Northumbria,3.9,4.3,5.1,5.7,5.3,4.8,20,28,37,40,37,33
Violence against the person,E08000022,North Tyneside,Northumbria,2.2,3,3.2,3.5,3.7,3.8,13,22,28,32,31,30
Violence against the person,E06000057,Northumberland,Northumbria,1.8,2.4,2.8,2.9,2.9,3.2,11,17,24,26,26,27
Violence against the person,E08000023,South Tyneside,Northumbria,2.9,3.5,3.4,3.8,4.5,3.9,18,25,32,35,37,33
Violence against the person,E08000024,Sunderland,Northumbria,2.6,3.2,4,4.2,4.3,4.7,16,24,33,35,35,35
Violence against the person,E07000170,Ashfield,Nottinghamshire,3.1,3.4,4.1,4.7,4.7,4.2,15,20,24,29,31,28
Violence against the person,E07000171,Bassetlaw,Nottinghamshire,3.3,3.2,3.3,5,4.7,3.6,14,19,21,28,28,23
Violence against the person,E07000174,Mansfield,Nottinghamshire,4.3,4.5,5.2,6.5,6.1,4.5,22,26,30,37,38,31
Violence against the person,E07000175,Newark and Sherwood,Nottinghamshire,2.8,3.1,3.3,3.6,3.9,3,13,17,19,23,24,21
Violence against the person,E06000018,Nottingham,Nottinghamshire,5.4,5.8,6.4,7.4,6.6,5.3,23,29,33,41,40,34
Violence against the person,E22000366,South Nottinghamshire,Nottinghamshire,1.6,1.9,2,2.4,2.5,2.4,9,11,13,16,17,16
Violence against the person,W06000013,Bridgend,South Wales,3.1,3.6,3.1,4.1,4,3.1,16,18,23,27,30,24
Violence against the person,W06000015,Cardiff,South Wales,3.8,4.1,4.5,5.1,4.7,4.3,19,20,26,30,30,27
Violence against the person,W14000023,Cwm Taf,South Wales,3.8,4.2,4,4.5,4.2,3.9,18,20,26,30,31,30
Violence against the person,W06000012,Neath Port Talbot,South Wales,3.1,3.1,3.1,3.3,3.8,3.9,15,16,22,26,28,26
Violence against the person,W06000011,Swansea,South Wales,3.4,3.5,3.6,4.2,4.2,4,17,18,24,26,28,25
Violence against the person,W06000014,Vale of Glamorgan,South Wales,2.2,2.8,2.9,3.4,3.5,3.1,13,15,20,23,23,23
Violence against the person,E08000016,Barnsley,South Yorkshire,3,3.6,4.4,5.2,5.5,5.8,14,21,29,34,35,36
Violence against the person,E08000017,Doncaster,South Yorkshire,3.8,5,5.9,6.8,7.1,6.9,18,25,34,40,40,40
Violence against the person,E08000018,Rotherham,South Yorkshire,3.1,3.9,4.3,5.8,5.8,5.8,15,21,28,33,33,33
Violence against the person,E08000019,Sheffield,South Yorkshire,2.9,5,4.3,5.1,5.5,5.5,13,18,24,28,30,29
Violence against the person,E07000192,Cannock Chase,Staffordshire,2.7,3.1,3.3,3.1,2.8,2.5,18,22,25,26,26,24
Violence against the person,E07000193,East Staffordshire,Staffordshire,2.9,3.6,3.7,3.6,3.3,2.9,19,22,26,27,25,22
Violence against the person,E07000194,Lichfield,Staffordshire,1.9,2.1,2.6,2.9,2.5,2.2,13,15,17,20,21,19
Violence against the person,E07000195,Newcastle-under-Lyme,Staffordshire,3.3,3.7,3.8,3.3,3.3,2.9,20,24,25,25,26,23
Violence against the person,E07000196,South Staffordshire,Staffordshire,2,2.7,2.4,1.9,1.9,1.9,12,15,16,15,16,17
Violence against the person,E07000197,Stafford,Staffordshire,2.4,2.7,3,2.5,2.5,2.2,16,18,21,21,20,20
Violence against the person,E07000198,Staffordshire Moorlands,Staffordshire,2.1,2.8,3,2.6,2.1,1.9,15,19,19,21,18,19
Violence against the person,E06000021,Stoke-on-Trent,Staffordshire,5.6,6.4,6.7,6.8,6,5.6,34,37,43,46,43,41
Violence against the person,E07000199,Tamworth,Staffordshire,3.2,3.7,3.2,3.3,3,3.3,21,25,24,27,25,27
Violence against the person,E07000200,Babergh,Suffolk,0.3,1.5,1.8,2.2,2.3,2.6,2,14,15,20,22,22
Violence against the person,E07000244,East Suffolk,Suffolk,0.3,2.3,2.5,2.6,2.6,2.8,2,17,21,23,25,24
Violence against the person,E07000202,Ipswich,Suffolk,0.8,4.5,5,5.6,5.5,5.4,4,29,35,40,45,42
Violence against the person,E07000203,Mid Suffolk,Suffolk,0.3,1.8,1.8,1.8,2.1,2.2,2,14,15,18,19,18
Violence against the person,E07000245,West Suffolk,Suffolk,0.6,3.1,2.9,3.4,3.9,3.7,3,19,21,25,30,27
Violence against the person,E22000373,Western Suffolk,Suffolk,:,:,:,:,:,:,:,:,:,:,:,:
Violence against the person,E07000207,Elmbridge,Surrey,1.6,1.7,1.9,2,2.2,2,13,14,17,18,19,18
Violence against the person,E07000208,Epsom and Ewell,Surrey,1.7,1.6,2.3,2.2,2.2,2.3,15,16,19,19,20,19
Violence against the person,E07000209,Guildford,Surrey,1.7,2.2,2.1,2.3,2.6,2.4,15,17,18,19,21,19
Violence against the person,E07000210,Mole Valley,Surrey,1.4,1.7,1.9,2,2.2,2.3,11,13,17,18,18,19
Violence against the person,E07000211,Reigate and Banstead,Surrey,1.9,2.5,2.6,3,2.8,2.9,16,18,21,23,22,22
Violence against the person,E07000212,Runnymede,Surrey,1.7,2.1,2.2,2.5,2.3,2.7,15,18,21,22,22,24
Violence against the person,E07000213,Spelthorne,Surrey,2,2.2,2.5,2.9,3.1,3,17,19,22,25,25,24
Violence against the person,E07000214,Surrey Heath,Surrey,1.7,1.9,1.9,2.3,2.4,2.2,13,15,16,17,19,19
Violence against the person,E07000215,Tandridge,Surrey,1.5,1.6,2.2,2.3,2.4,2.1,13,13,18,19,19,17
Violence against the person,E07000216,Waverley,Surrey,1.3,1.1,1.4,1.7,1.7,1.8,10,10,12,14,14,15
Violence against the person,E07000217,Woking,Surrey,1.9,2.3,2.8,3.3,2.9,2.9,15,18,24,24,25,24
Violence against the person,E07000223,Adur,Sussex,1.8,2.1,3.7,2.1,3.3,3.3,16,15,19,18,23,22
Violence against the person,E07000224,Arun,Sussex,2.2,2.4,2.6,3.2,3.4,2.9,16,17,18,21,23,23
Violence against the person,E06000043,Brighton and Hove,Sussex,3,3.5,3.7,3.9,4.7,3.9,23,25,27,29,31,30
Violence against the person,E07000225,Chichester,Sussex,1.7,1.4,2.1,1.9,2.7,2.2,10,12,16,15,18,18
Violence against the person,E07000226,Crawley,Sussex,3.1,4,4.8,5.7,6.8,4.9,23,26,31,36,39,35
Violence against the person,E07000061,Eastbourne,Sussex,2.7,3.3,3.6,4.8,4.6,4.3,21,23,27,31,34,32
Violence against the person,E07000062,Hastings,Sussex,3.8,4.6,5.3,5.5,6.3,5.9,26,31,33,37,41,38
Violence against the person,E07000227,Horsham,Sussex,1.3,1.8,2.1,2.2,2.2,2.2,11,12,13,15,17,16
Violence against the person,E07000063,Lewes,Sussex,1.8,1.9,2.4,2.6,3.1,2.4,13,15,16,19,21,19
Violence against the person,E07000228,Mid Sussex,Sussex,1.2,1.6,1.9,2.1,2.1,2.1,9,12,14,15,17,17
Violence against the person,E07000064,Rother,Sussex,1.7,1.7,2.1,2.3,2.8,2.5,12,14,17,19,22,21
Violence against the person,E07000065,Wealden,Sussex,1.4,1.2,1.4,1.6,1.7,1.6,8,10,11,11,13,13
Violence against the person,E07000229,Worthing,Sussex,2.3,2.7,3.3,3.8,4.1,3.5,18,20,23,25,30,25
Violence against the person,E06000036,Bracknell Forest,Thames Valley,1.2,1.4,1.5,2,2.2,2,10,11,12,18,20,18
Violence against the person,E06000060,Buckinghamshire,Thames Valley,1.5,1.6,1.8,1.9,2,2.3,10,11,13,17,18,21
Violence against the person,E07000177,Cherwell,Thames Valley,1.7,1.9,2.3,2.5,2.7,3.2,13,14,16,21,24,27
Violence against the person,E06000042,Milton Keynes,Thames Valley,2,2.4,2.7,3.5,3.5,3.8,15,18,20,28,32,33
Violence against the person,E07000178,Oxford,Thames Valley,2.1,2.6,3,3.3,3.4,3.2,17,18,20,26,27,29
Violence against the person,E06000038,Reading,Thames Valley,2.7,2.5,3,3.7,3.7,4.5,21,20,22,30,34,34
Violence against the person,E06000039,Slough,Thames Valley,2.9,3.3,3.6,4,4.3,4.7,20,23,24,32,36,39
Violence against the person,E07000179,South Oxfordshire,Thames Valley,1.1,1,1.3,1.3,1.5,1.8,7,8,9,13,15,17
Violence against the person,E07000180,Vale of White Horse,Thames Valley,1.1,1.3,1.1,1.5,1.6,2,7,8,9,13,15,20
Violence against the person,E06000037,West Berkshire,Thames Valley,1.3,1.3,1.5,1.7,1.7,1.8,10,11,11,15,17,18
Violence against the person,E07000181,West Oxfordshire,Thames Valley,0.9,1,1.2,1.5,1.7,1.5,8,7,9,14,16,17
Violence against the person,E06000040,Windsor and Maidenhead,Thames Valley,1.6,1.8,2,2.1,2.2,2,12,12,13,17,20,19
Violence against the person,E06000041,Wokingham,Thames Valley,0.9,0.9,0.9,1.3,1.4,1.6,7,7,8,12,14,14
Violence against the person,E07000218,North Warwickshire,Warwickshire,2.4,3.3,3.4,3.3,3.5,3.4,14,18,20,22,23,24
Violence against the person,E07000219,Nuneaton and Bedworth,Warwickshire,4,4.7,4.8,4.9,4.9,4.9,21,27,28,33,35,33
Violence against the person,E07000220,Rugby,Warwickshire,2.7,3.5,4,4.6,4.3,4.3,15,20,23,25,26,26
Violence against the person,E22000359,South Warwickshire,Warwickshire,2,2.5,2.5,2.7,2.9,3,13,16,18,19,21,21
Violence against the person,E06000019,"Herefordshire, County of",West Mercia,2.6,2.7,2.6,2.9,3,3.4,16,19,19,21,23,22
Violence against the person,E22000368,North Worcestershire,West Mercia,3.1,3.7,3.5,3.4,3.9,3.8,19,23,23,25,27,26
Violence against the person,E06000051,Shropshire,West Mercia,2.3,2.6,2.5,2.7,2.9,2.9,15,17,18,20,22,20
Violence against the person,E22000332,South Worcester,West Mercia,3.1,3.4,3,3.3,3.8,3.6,18,21,22,24,27,24
Violence against the person,E06000020,Telford and Wrekin,West Mercia,4.2,4.7,4.9,5,5.4,5.4,27,31,33,35,38,33
Violence against the person,E08000025,Birmingham,West Midlands,4.5,4.8,5.8,6.6,7.3,8.6,17,19,23,29,36,48
Violence against the person,E08000026,Coventry,West Midlands,3.3,3.9,3.9,5,5.1,6,15,16,17,23,26,36
Violence against the person,E08000027,Dudley,West Midlands,2.7,3.4,3.7,4.4,4.6,5.2,11,13,17,22,26,34
Violence against the person,E08000028,Sandwell,West Midlands,3.9,4.6,4.9,5.8,6.1,7,14,18,21,27,32,42
Violence against the person,E08000029,Solihull,West Midlands,2.4,2.6,2.7,3.5,4.1,4.4,10,12,14,18,22,28
Violence against the person,E08000030,Walsall,West Midlands,3.4,3.5,4.2,5.2,5.8,6.3,16,15,19,26,31,40
Violence against the person,E08000031,Wolverhampton,West Midlands,4.1,4.4,5.3,6.4,6.6,7.4,18,21,24,31,36,49
Violence against the person,E08000032,Bradford,West Yorkshire,3.8,4.8,6.2,7.3,6.8,7.3,22,31,40,53,53,54
Violence against the person,E08000033,Calderdale,West Yorkshire,2.9,3.8,5.2,7.1,6.3,6.2,23,29,35,48,47,44
Violence against the person,E08000034,Kirklees,West Yorkshire,3,4,4.9,5.5,5.6,5.4,18,24,30,38,41,39
Violence against the person,E08000035,Leeds,West Yorkshire,3.9,4.8,5.5,6.3,6,6,24,31,36,46,46,44
Violence against the person,E08000036,Wakefield,West Yorkshire,3.3,3.8,4.8,6,5.6,5.4,22,28,35,46,46,44
Violence against the person,E06000030,Swindon,Wiltshire,3.3,4,3.5,3.5,3.6,3.8,24,27,24,26,26,27
Violence against the person,E06000054,Wiltshire,Wiltshire,1.7,1.8,2.1,2.2,2.2,2.2,12,14,16,18,19,18
Sexual offences,E06000022,Bath and North East Somerset,Avon and Somerset,2.4,2.6,3.2,3,3.1,2.8,1,2,2,2,2,2
Sexual offences,E06000023,"Bristol, City of",Avon and Somerset,4.7,5.2,6.4,5.4,5.7,4.9,3,3,4,3,3,3
Sexual offences,E06000024,North Somerset,Avon and Somerset,2.4,2.7,3.2,3.4,3.3,2.8,2,2,2,2,2,2
Sexual offences,E10000027,Somerset,Avon and Somerset,2.7,3.4,3.5,3.6,3.6,3.3,2,2,2,2,2,2
Sexual offences,E06000025,South Gloucestershire,Avon and Somerset,1.9,2.7,2.7,2.7,3,2.6,1,2,2,2,2,2
Sexual offences,E06000055,Bedford,Bedfordshire,2.8,2.5,2.8,4.9,4,3.5,2,1,2,3,3,2
Sexual offences,E06000056,Central Bedfordshire,Bedfordshire,1.7,1.6,1.7,2.7,2.3,2,1,1,1,2,2,1
Sexual offences,E06000032,Luton,Bedfordshire,3.3,2.8,3.2,5.4,3.9,3.6,2,2,2,3,2,2
Sexual offences,E07000008,Cambridge,Cambridgeshire,3.2,3.2,4.2,4.8,4.9,4.1,2,2,3,3,3,3
Sexual offences,E07000009,East Cambridgeshire,Cambridgeshire,1.6,1.6,1.7,2.3,2.3,2.9,1,1,1,1,2,2
Sexual offences,E07000010,Fenland,Cambridgeshire,2.8,3,3,4,3.9,3.6,2,2,2,2,2,2
Sexual offences,E07000011,Huntingdonshire,Cambridgeshire,2.4,2.4,2.5,3.7,2.9,3,1,2,2,2,2,2
Sexual offences,E06000031,Peterborough,Cambridgeshire,3.7,3.7,5.3,5.3,5.1,5.6,2,3,3,3,3,3
Sexual offences,E07000012,South Cambridgeshire,Cambridgeshire,1.2,1.8,1.9,2,2.3,2,1,1,1,1,1,1
Sexual offences,E06000049,Cheshire East,Cheshire,1.8,2.1,3.4,3.8,3.6,3.8,1,1,2,2,2,2
Sexual offences,E06000050,Cheshire West and Chester,Cheshire,2.2,2.8,3.9,4.1,4,4.1,1,2,2,3,2,2
Sexual offences,E06000006,Halton,Cheshire,3.1,2.6,4.6,5.1,5.8,5.8,2,2,3,3,4,3
Sexual offences,E06000007,Warrington,Cheshire,2,2.5,4.3,4.9,5.2,4.7,1,2,3,3,3,3
Sexual offences,E09000001,City of London,City of London, : , : , : , : , : , : , : , : , : , : , : , : 
Sexual offences,E06000001,Hartlepool,Cleveland,3.2,3.4,3.9,5.2,4.9,5.9,2,2,3,3,3,4
Sexual offences,E06000002,Middlesbrough,Cleveland,5.2,5.7,6.8,7,7.3,7.4,3,4,4,4,4,4
Sexual offences,E06000003,Redcar and Cleveland,Cleveland,3,3.1,4.5,4,4.3,4.1,2,2,2,3,3,3
Sexual offences,E06000004,Stockton-on-Tees,Cleveland,3.2,3.5,4.1,4.1,4.9,4.9,2,2,3,3,3,3
Sexual offences,E07000026,Allerdale,Cumbria,1.9,2.6,3.7,4.3,4.6,3.8,1,2,3,3,3,2
Sexual offences,E07000027,Barrow-in-Furness,Cumbria,3.7,4.4,6.5,7.1,6,5.2,2,3,4,5,4,3
Sexual offences,E07000028,Carlisle,Cumbria,2.8,3.1,3.8,5.9,4.7,4.7,2,2,3,4,3,3
Sexual offences,E07000029,Copeland,Cumbria,2.1,2.4,4,4.5,3.3,3.8,1,2,3,3,3,2
Sexual offences,E07000030,Eden,Cumbria,2.1,2.8,2.7,3.8,2.8,3,1,2,2,2,2,2
Sexual offences,E07000031,South Lakeland,Cumbria,2.7,2.3,2.9,3.9,3.4,2.7,2,2,2,3,2,2
Sexual offences,E07000032,Amber Valley,Derbyshire,2,2.6,2.9,3.3,4,3.6,1,2,1,2,3,2
Sexual offences,E07000033,Bolsover,Derbyshire,2.2,2.7,2.5,3.4,3.4,3,1,1,2,2,3,2
Sexual offences,E07000034,Chesterfield,Derbyshire,2.7,2.8,2.9,3.4,4.1,4.5,2,2,2,2,2,3
Sexual offences,E06000015,Derby,Derbyshire,3.6,3.9,4.3,5.3,6.1,5.8,2,3,2,3,4,3
Sexual offences,E07000035,Derbyshire Dales,Derbyshire,1.4,1.6,1.6,2.7,2.1,1.9,1,1,1,2,1,1
Sexual offences,E07000036,Erewash,Derbyshire,1.9,2.5,2.5,3.4,3.5,3.9,1,2,2,2,2,2
Sexual offences,E07000037,High Peak,Derbyshire,2.1,2.4,2.9,2.9,2.5,3,1,2,2,2,2,2
Sexual offences,E07000038,North East Derbyshire,Derbyshire,1.5,1.5,1.5,2.7,2.5,3,1,1,1,1,2,2
Sexual offences,E07000039,South Derbyshire,Derbyshire,1.9,2.7,2.7,3,2.6,2.9,1,2,2,2,2,2
Sexual offences,E06000052,Cornwall,Devon and Cornwall,2.4,3.1,3.6,3.6,3.7,3.7,1,2,2,2,2,2
Sexual offences,E22000362,East and Mid Devon,Devon and Cornwall,1.8,2.3,2.9,3,2.5,2.6,1,1,2,2,2,2
Sexual offences,E07000041,Exeter,Devon and Cornwall,3.9,4.8,6.1,5.7,4.7,4.8,2,3,4,3,3,3
Sexual offences,E06000053,Isles of Scilly,Devon and Cornwall,3.5,0.6,2,1.8,0,0.7,2,1,2,1,0,1
Sexual offences,E07000043,North Devon,Devon and Cornwall,2.7,2.7,3.7,3.3,3.6,3,2,2,2,2,2,2
Sexual offences,E06000026,Plymouth,Devon and Cornwall,3.5,4.6,6.1,6.1,6.6,6.8,2,3,4,4,4,4
Sexual offences,E22000364,South Devon and Dartmoor,Devon and Cornwall,1.9,2.3,2.9,3.2,2.9,2.6,1,2,2,2,2,2
Sexual offences,E06000027,Torbay,Devon and Cornwall,3.2,4.2,5.5,4.8,5.2,4.3,2,3,3,3,3,3
Sexual offences,E06000028,Bournemouth,Dorset,:,:,:,:,:,:,:,:,:,:,:,:
Sexual offences,E06000058,"Bournemouth, Christchurch and Poole",Dorset,3,3.3,3.9,4.8,5.2,4.4,2,2,3,3,3,3
Sexual offences,E06000059,Dorset,Dorset,1.9,2.6,2.8,3.2,3.4,2.5,1,2,2,2,2,2
Sexual offences,E22000367,Dorset (inc. Christchurch),Dorset,:,:,:,:,:,:,:,:,:,:,:,:
Sexual offences,E06000029,Poole,Dorset,:,:,:,:,:,:,:,:,:,:,:,:
Sexual offences,E06000047,County Durham,Durham,2.8,3,4.5,4.4,4.2,4.1,2,2,3,3,3,3
Sexual offences,E06000005,Darlington,Durham,3.2,3.3,5.4,4.6,5.1,4.7,2,2,4,3,4,3
Sexual offences,W06000010,Carmarthenshire,Dyfed-Powys,2.3,2.7,3.5,3.5,3.5,3.1,2,2,2,2,2,2
Sexual offences,W06000008,Ceredigion,Dyfed-Powys,4,3.6,4,5.8,4.2,3.4,3,3,3,4,3,2
Sexual offences,W06000009,Pembrokeshire,Dyfed-Powys,2,2.7,4.2,4.3,4.2,3.4,1,2,3,3,3,3
Sexual offences,W06000023,Powys,Dyfed-Powys,2.7,2.3,3.5,3.6,4.4,3.3,2,2,2,2,3,2
Sexual offences,E07000066,Basildon,Essex,2.8,2.8,3.1,4.5,5.1,4.7,2,2,2,3,3,3
Sexual offences,E07000067,Braintree,Essex,2.4,2.3,3.4,3,4,3.6,2,1,2,2,2,2
Sexual offences,E07000068,Brentwood,Essex,1.5,1.6,2.2,2.5,3.6,2.3,1,1,1,1,2,1
Sexual offences,E07000069,Castle Point,Essex,1.8,2.2,1.9,3.1,3.2,3.3,1,1,1,2,2,2
Sexual offences,E07000070,Chelmsford,Essex,2.2,2.9,4.2,5.3,6.8,5.4,1,2,3,3,4,3
